Timestamp,QueueOccupancy,TotalPackets,TotalBytes,AggregateThroughput,Flow1_Throughput,Flow1_Delay,Flow1_DropRate,Flow2_Throughput,Flow2_Delay,Flow2_DropRate,Flow3_Throughput,Flow3_Delay,Flow3_DropRate
0.003,9,10,488,166794.782,0.000,0.000,0.000,166794.782,1.063,0.000,0.000,0.000,0.000
0.104,106,239,109851,1056806.045,334172.787,14.394,0.000,363024.243,14.784,0.000,359609.016,14.052,0.000
0.204,188,466,214569,1051315.844,345656.543,27.429,0.000,343260.608,27.590,0.000,362398.693,27.382,0.000
0.304,278,691,320685,1053898.295,348272.660,38.362,0.000,347694.254,38.498,0.000,357931.381,38.282,0.000
0.404,361,918,426855,1055504.894,344285.665,51.462,0.000,359317.500,51.420,0.000,351901.729,51.154,0.000
0.505,474,1144,511475,1013752.590,328055.670,59.006,0.000,348811.361,59.575,0.000,336885.559,59.348,0.000
0.605,500,1266,592518,979871.747,319638.511,69.761,0.055,335795.567,72.252,0.079,324437.669,73.330,0.094
0.705,500,1387,674613,957146.627,316780.201,88.983,0.115,332426.821,88.907,0.114,307939.606,94.425,0.167
0.805,499,1491,756935,940333.074,313096.931,104.781,0.153,324420.407,107.082,0.173,302815.735,113.608,0.222
0.905,500,1589,837736,925595.565,308816.545,121.453,0.196,317427.959,121.260,0.192,299351.060,136.020,0.285
1.005,498,1693,920752,915989.805,303357.854,147.061,0.247,314794.396,132.824,0.192,297837.554,162.498,0.328
1.105,499,1796,1002307,906810.342,304606.712,176.456,0.294,315562.005,147.676,0.200,286641.625,174.260,0.352
1.205,499,1895,1083725,899052.728,301541.153,193.088,0.319,319560.783,167.043,0.213,277950.792,188.589,0.382
1.305,500,1997,1165934,893099.796,303370.084,215.006,0.335,313138.054,179.119,0.242,276591.659,201.838,0.396
1.406,500,2098,1247105,887251.353,301630.101,230.602,0.352,320742.462,206.062,0.270,264878.791,198.976,0.400
1.506,500,2198,1329820,883187.884,293537.670,235.118,0.370,331849.303,230.388,0.282,257800.911,206.992,0.416
1.606,499,2298,1410784,878549.865,284221.702,236.672,0.385,338353.890,252.809,0.297,255974.272,218.006,0.423
1.706,499,2402,1493124,875244.401,284968.923,251.600,0.403,339667.449,268.888,0.310,250608.029,220.202,0.422
1.806,500,2506,1575032,872063.489,284562.100,265.829,0.416,335562.659,274.959,0.319,251938.730,231.069,0.428
1.906,500,2603,1656685,869106.901,282926.314,278.897,0.437,329791.467,272.328,0.314,256389.119,249.048,0.440
2.006,499,2699,1738714,866627.020,279893.302,283.738,0.442,330919.065,282.549,0.324,255814.653,258.203,0.451
2.106,500,2809,1820495,864262.431,278852.511,288.302,0.440,330821.388,294.307,0.339,254588.532,266.607,0.454
2.207,500,2914,1901635,861826.292,274971.730,291.261,0.445,325693.734,302.169,0.355,261160.828,278.570,0.450
2.307,499,3012,1983616,859959.616,269742.305,292.271,0.451,327838.967,316.335,0.371,262378.343,282.546,0.447
2.407,498,3122,2065901,858374.469,264624.268,292.151,0.456,332432.037,329.459,0.371,261318.163,288.700,0.453
2.507,500,3215,2146253,856152.760,266211.378,301.686,0.463,331592.038,336.345,0.383,258349.344,287.060,0.453
2.607,500,3315,2228756,854925.727,268833.956,308.742,0.463,325806.091,339.161,0.394,260285.680,294.153,0.457
2.707,499,3413,2310882,853642.348,267733.420,313.882,0.468,319861.455,337.333,0.398,266047.473,307.829,0.464
2.807,499,3515,2392632,852316.038,268078.770,317.251,0.467,314081.348,334.064,0.399,270155.920,324.427,0.474
2.904,499,3623,2476510,852834.108,266940.303,317.888,0.465,316216.800,342.313,0.402,269677.006,330.927,0.482
3.004,498,3767,2587176,861250.314,271647.900,318.521,0.452,313539.701,344.372,0.403,276062.714,345.860,0.487
3.104,498,3908,2696138,868579.893,275441.710,316.962,0.440,315592.144,348.368,0.404,277546.039,353.499,0.491
3.204,500,4041,2798971,873520.955,280919.011,320.193,0.434,318174.956,355.109,0.411,274426.988,346.685,0.486
3.304,500,4173,2903146,878549.778,285085.203,320.977,0.427,319375.368,360.291,0.418,274089.206,342.792,0.484
3.405,500,4271,2985130,876798.693,287460.546,322.767,0.425,318063.159,363.752,0.428,271274.988,340.526,0.487
3.505,499,4373,3066803,875066.202,291106.175,330.567,0.430,316134.048,367.187,0.435,267825.979,333.866,0.483
3.605,500,4478,3148619,873468.963,293570.742,334.259,0.430,310261.594,365.263,0.441,269636.627,338.890,0.485
3.705,500,4579,3230810,872046.853,294978.895,335.796,0.427,307440.910,368.576,0.449,269627.048,342.039,0.489
3.805,500,4684,3312033,870446.169,297252.828,345.074,0.433,304432.360,364.312,0.446,268760.980,345.658,0.491
3.905,500,4777,3393072,868884.887,299244.724,350.451,0.434,300447.514,361.373,0.448,269192.649,351.515,0.498
4.005,498,4877,3475887,867848.882,298026.398,350.021,0.433,296926.321,362.712,0.454,272896.163,360.584,0.500
4.105,500,4994,3557503,866566.632,299497.842,353.490,0.430,294275.062,364.220,0.457,272793.728,364.574,0.502
4.205,500,5097,3638819,865264.001,300899.763,357.948,0.430,292002.961,364.755,0.460,272361.276,367.039,0.505
4.306,500,5196,3720125,864024.615,297769.807,359.845,0.436,294818.286,369.305,0.460,271436.522,367.549,0.506
4.406,500,5302,3802105,863001.215,297623.013,363.077,0.438,295107.169,371.653,0.461,270271.034,368.780,0.508
4.506,500,5406,3883770,861948.722,300551.399,367.163,0.437,293178.238,372.165,0.464,268219.084,370.194,0.511
4.606,500,5505,3967018,861285.376,303115.930,371.130,0.437,291135.281,374.573,0.469,267034.164,369.776,0.511
4.706,500,5603,4048350,860244.527,303654.301,372.069,0.437,291261.944,376.792,0.471,265328.281,373.134,0.515
4.806,500,5716,4130254,859362.440,301802.221,371.433,0.438,292318.189,380.615,0.470,265242.031,377.098,0.517
4.906,499,5825,4212224,858533.013,301695.734,374.458,0.439,290690.708,380.872,0.471,266146.571,380.076,0.518
5.006,500,5934,4292947,857486.418,302224.849,380.055,0.443,290097.648,382.826,0.473,265163.921,376.944,0.514
5.107,499,6045,4375633,856859.145,302687.969,385.569,0.446,288623.608,382.746,0.475,265547.568,376.090,0.511
5.207,500,6148,4457686,856143.064,302940.041,390.210,0.451,289089.443,380.058,0.470,264113.580,377.681,0.515
5.307,499,6253,4539725,855444.591,302676.514,386.885,0.447,289975.031,384.075,0.473,262793.046,381.680,0.519
5.407,500,6365,4621122,854657.201,302295.978,388.512,0.449,290231.963,382.871,0.470,262129.260,385.641,0.522
5.507,500,6470,4703121,854015.551,301195.346,389.936,0.452,287998.122,381.845,0.471,264822.083,389.499,0.521
5.607,499,6581,4784773,853332.398,299405.831,388.606,0.452,288635.142,384.915,0.471,265291.425,392.100,0.521
5.707,500,6687,4866404,852671.405,300023.604,388.482,0.451,289323.519,389.954,0.474,263324.282,390.314,0.522
5.807,500,6797,4947285,851905.105,302069.491,392.755,0.453,288751.815,390.181,0.473,261083.799,388.862,0.524
5.907,499,6901,5029555,851391.617,300558.691,391.056,0.453,290148.280,394.328,0.474,260684.646,390.148,0.525
6.008,498,7003,5112333,850981.488,299392.641,393.992,0.459,289187.354,390.403,0.470,262401.493,394.972,0.526
6.108,500,7123,5193829,850379.170,300315.544,397.581,0.459,289592.129,394.011,0.473,260471.496,390.785,0.523
6.208,499,7235,5275778,849865.030,301572.863,399.558,0.460,288418.248,392.564,0.472,259873.920,393.593,0.524
6.308,499,7334,5357589,849340.479,300410.899,399.822,0.461,289743.867,396.612,0.475,259185.714,391.768,0.523
6.408,499,7433,5439386,848830.322,300150.320,398.196,0.460,290162.018,401.538,0.480,258517.984,391.297,0.523
6.508,498,7538,5521506,848381.318,297704.924,395.698,0.459,290898.521,406.738,0.484,259777.872,391.994,0.522
6.608,500,7641,5602819,847830.959,297678.935,396.989,0.460,289478.330,404.696,0.483,260673.694,395.751,0.524
6.709,499,7735,5684694,847381.376,296548.317,395.840,0.459,290745.418,408.412,0.486,260087.641,397.046,0.526
6.809,500,7839,5765758,846807.790,296011.546,396.080,0.459,289331.236,408.206,0.487,261465.009,400.909,0.527
6.909,500,7945,5848814,846555.706,298565.333,398.278,0.457,287156.948,407.660,0.490,260833.425,403.074,0.528
7.009,500,8054,5930395,846100.600,298598.547,399.620,0.457,285979.219,407.622,0.492,261522.834,405.303,0.528
7.109,500,8158,6010883,845504.267,298766.879,398.686,0.454,286361.454,411.577,0.495,260375.934,405.413,0.529
7.209,500,8253,6092817,845118.467,299735.475,400.702,0.456,285813.419,412.379,0.497,259569.573,404.994,0.530
7.310,500,8364,6175709,844881.457,300435.315,405.926,0.461,284908.655,411.117,0.496,259537.486,403.467,0.526
7.410,500,8464,6257022,844439.676,302047.466,411.539,0.464,283857.460,410.995,0.498,258534.750,399.993,0.524
7.510,500,8567,6338477,844023.413,302180.520,414.142,0.467,282831.095,410.237,0.498,259011.798,400.928,0.523
7.610,500,8664,6420064,843635.966,304063.476,417.485,0.467,281271.078,408.534,0.498,258301.412,401.894,0.525
7.710,499,8769,6503567,843510.617,303315.174,418.465,0.469,281395.148,407.854,0.497,258800.295,404.764,0.527
7.810,500,8884,6584558,843071.163,300646.682,416.975,0.471,281866.251,408.910,0.496,260558.230,408.274,0.525
7.910,500,8987,6665701,842654.063,299393.906,415.581,0.472,281140.765,408.004,0.496,262119.392,413.368,0.527
8.011,499,9092,6748723,842483.629,298909.207,415.065,0.471,281386.726,408.915,0.496,262187.697,415.611,0.529
8.111,500,9203,6830514,842166.943,299150.450,415.244,0.470,281282.443,408.568,0.495,261734.050,417.817,0.532
8.211,500,9313,6911573,841767.740,297250.668,414.231,0.471,282615.647,411.455,0.495,261901.425,417.742,0.531
8.311,500,9425,6993683,841503.870,296076.716,414.696,0.472,282822.970,411.413,0.494,262604.184,419.109,0.531
8.411,499,9519,7076005,841270.849,295987.671,414.958,0.473,283936.082,413.739,0.496,261347.096,417.994,0.532
8.511,497,9626,7157997,841007.653,295996.046,416.291,0.473,284895.515,417.109,0.498,260116.092,415.130,0.531
8.611,499,9734,7238943,840627.824,296448.418,414.750,0.470,285354.111,419.712,0.500,258825.295,415.728,0.533
8.711,499,9836,7321740,840474.045,296323.883,416.493,0.472,284902.236,418.951,0.499,259247.927,416.563,0.533
8.812,499,9936,7403194,840172.387,295332.091,416.441,0.473,285574.295,419.395,0.498,259266.001,418.390,0.534
8.912,500,10034,7483639,839764.368,295680.216,416.835,0.473,284865.540,418.492,0.498,259218.612,420.970,0.537
9.012,498,10139,7566771,839662.088,296059.254,419.538,0.475,284048.737,415.949,0.496,259554.098,423.296,0.538
9.112,499,10251,7648073,839356.661,297380.634,420.795,0.473,283227.710,416.634,0.498,258748.317,423.292,0.539
9.212,499,10353,7730108,839139.974,296634.225,420.687,0.474,283668.336,419.481,0.500,258837.413,422.330,0.537
9.312,500,10460,7812034,838918.082,297086.855,423.745,0.476,284151.765,419.997,0.500,257679.462,419.993,0.536
9.412,500,10564,7893079,838605.041,296072.321,422.066,0.476,285522.025,422.088,0.499,257010.695,421.338,0.538
9.512,499,10667,7975472,838441.329,296316.855,421.354,0.474,286259.099,423.622,0.500,255865.375,422.170,0.541
9.613,500,10780,8058036,838286.255,296809.434,422.219,0.473,285426.352,423.206,0.500,256050.469,423.563,0.541
9.713,499,10884,8139594,838042.756,295979.651,421.058,0.473,285568.767,423.583,0.500,256494.337,426.031,0.543
9.813,500,10993,8220536,837740.126,295226.664,421.290,0.474,285472.927,423.510,0.500,257040.536,427.283,0.542
9.913,499,11087,8302674,837561.510,296299.900,425.098,0.478,285124.880,421.671,0.498,256136.730,426.394,0.543
10.013,486,11177,8384543,837364.148,297439.967,429.705,0.480,284517.091,421.262,0.497,255407.089,424.863,0.542
10.113,380,11177,8466138,837141.241,297817.684,435.096,0.480,284604.892,425.821,0.497,254718.665,428.480,0.542
10.213,263,11177,8548467,836995.331,297827.068,440.585,0.480,284632.188,430.868,0.497,254536.075,432.905,0.542
10.314,160,11177,8630351,836767.560,296153.736,442.788,0.480,285559.410,436.798,0.497,255054.413,438.183,0.542
10.414,60,11177,8712608,836619.838,294748.678,444.724,0.480,287024.312,443.417,0.497,254846.848,442.439,0.542
10.514,0,11177,8757920,832960.625,292860.617,446.293,0.480,286054.398,446.533,0.497,254045.610,445.588,0.542
